problem,definition,episodes,N,f1,f1_over_N,distinct_answers,tied_answer_episodes,engine_error_episodes,answerless_episodes,at_or_below_target
misc4,best_a,100,100,0,0.0,2,31,0,0,True
misc4,best_a,200,200,0,0.0,2,64,0,0,True
misc4,best_a,300,300,0,0.0,2,90,0,0,True
misc4,best_a,400,400,0,0.0,2,120,0,0,True
misc4,best_a,500,500,0,0.0,2,141,0,0,True
misc4,best_a,600,600,0,0.0,2,170,0,0,True
misc4,best_a,700,700,0,0.0,2,205,0,0,True
misc4,best_a,800,800,1,0.00125,3,234,0,0,False
misc4,best_a,900,900,1,0.0011111111111111111,3,261,0,0,False
misc4,best_a,1000,1000,1,0.001,3,297,0,0,False
misc4,best_b,100,100,0,0.0,1,0,0,0,True
misc4,best_b,200,200,0,0.0,1,0,0,0,True
misc4,best_b,300,300,1,0.0033333333333333335,2,0,0,0,False
misc4,best_b,400,400,0,0.0,2,0,0,0,True
misc4,best_b,500,500,0,0.0,3,0,0,0,True
misc4,best_b,600,600,0,0.0,3,0,0,0,True
misc4,best_b,700,700,0,0.0,3,0,0,0,True
misc4,best_b,800,800,0,0.0,3,0,0,0,True
misc4,best_b,900,900,0,0.0,3,0,0,0,True
misc4,best_b,1000,1000,0,0.0,3,0,0,0,True
run4,best_a,100,99,0,0.0,2,21,1,0,True
run4,best_a,200,199,0,0.0,2,40,1,0,True
run4,best_a,300,299,1,0.0033444816053511705,3,60,1,0,False
run4,best_a,400,399,3,0.007518796992481203,5,78,1,0,False
run4,best_a,500,499,3,0.006012024048096192,5,92,1,0,False
run4,best_a,600,599,3,0.005008347245409015,5,116,1,0,False
run4,best_a,700,699,3,0.004291845493562232,5,134,1,0,False
run4,best_a,800,799,2,0.0025031289111389237,5,142,1,0,False
run4,best_a,900,899,1,0.0011123470522803114,5,158,1,0,False
run4,best_a,1000,999,1,0.001001001001001001,5,179,1,0,False
run4,best_b,100,99,0,0.0,4,51,1,0,True
run4,best_b,200,199,0,0.0,4,100,1,0,True
run4,best_b,300,299,1,0.0033444816053511705,5,147,1,0,False
run4,best_b,400,399,0,0.0,5,196,1,0,True
run4,best_b,500,499,0,0.0,5,239,1,0,True
run4,best_b,600,599,0,0.0,5,291,1,0,True
run4,best_b,700,699,0,0.0,5,344,1,0,True
run4,best_b,800,799,0,0.0,5,397,1,0,True
run4,best_b,900,899,0,0.0,5,449,1,0,True
run4,best_b,1000,999,0,0.0,5,501,1,0,True
run1,best_a,100,100,0,0.0,4,6,0,0,True
run1,best_a,200,200,1,0.005,5,10,0,0,False
run1,best_a,300,300,1,0.0033333333333333335,5,20,0,0,False
run1,best_a,400,400,1,0.0025,5,27,0,0,False
run1,best_a,500,500,1,0.002,5,29,0,0,False
run1,best_a,600,600,1,0.0016666666666666668,5,37,0,0,False
run1,best_a,700,700,1,0.0014285714285714286,5,44,0,0,False
run1,best_a,800,800,0,0.0,5,52,0,0,True
run1,best_a,900,900,0,0.0,5,58,0,0,True
run1,best_a,1000,1000,0,0.0,5,66,0,0,True
run1,best_b,100,100,0,0.0,4,93,0,0,True
run1,best_b,200,200,1,0.005,5,179,0,0,False
run1,best_b,300,300,0,0.0,5,270,0,0,True
run1,best_b,400,400,0,0.0,5,362,0,0,True
run1,best_b,500,500,0,0.0,5,451,0,0,True
run1,best_b,600,600,0,0.0,5,537,0,0,True
run1,best_b,700,700,1,0.0014285714285714286,6,628,0,0,False
run1,best_b,800,800,1,0.00125,6,721,0,0,False
run1,best_b,900,900,1,0.0011111111111111111,6,814,0,0,False
run1,best_b,1000,1000,1,0.001,6,901,0,0,False
fig5.4-top,best_a,100,100,0,0.0,2,0,0,0,True
fig5.4-top,best_a,200,200,1,0.005,3,1,0,0,False
fig5.4-top,best_a,300,300,2,0.006666666666666667,4,1,0,0,False
fig5.4-top,best_a,400,400,3,0.0075,5,1,0,0,False
fig5.4-top,best_a,500,500,2,0.004,5,2,0,0,False
fig5.4-top,best_a,600,600,2,0.0033333333333333335,5,2,0,0,False
fig5.4-top,best_a,700,700,2,0.002857142857142857,5,3,0,0,False
fig5.4-top,best_a,800,800,2,0.0025,5,4,0,0,False
fig5.4-top,best_a,900,900,2,0.0022222222222222222,5,4,0,0,False
fig5.4-top,best_a,1000,1000,2,0.002,5,4,0,0,False
fig5.4-top,best_b,100,100,3,0.03,6,97,0,0,False
fig5.4-top,best_b,200,200,4,0.02,9,196,0,0,False
fig5.4-top,best_b,300,300,9,0.03,14,295,0,0,False
fig5.4-top,best_b,400,400,12,0.03,17,394,0,0,False
fig5.4-top,best_b,500,500,13,0.026,18,493,0,0,False
fig5.4-top,best_b,600,600,13,0.021666666666666667,18,592,0,0,False
fig5.4-top,best_b,700,700,13,0.018571428571428572,19,692,0,0,False
fig5.4-top,best_b,800,800,13,0.01625,19,790,0,0,False
fig5.4-top,best_b,900,900,13,0.014444444444444444,21,890,0,0,False
fig5.4-top,best_b,1000,1000,13,0.013,22,989,0,0,False
