problem,definition,episodes,N,f1,f1_over_N,distinct_answers,freeze_eligible,frozen_at
misc4,best_a,1,1,1,1.0,1,False,
misc4,best_b,1,1,1,1.0,1,False,
misc4,best_a,2,2,2,1.0,2,False,
misc4,best_b,2,2,0,0.0,1,False,
misc4,best_a,3,3,1,0.3333333333333333,2,False,
misc4,best_b,3,3,0,0.0,1,False,
misc4,best_a,4,4,0,0.0,2,False,
misc4,best_b,4,4,0,0.0,1,False,
misc4,best_a,5,5,0,0.0,2,False,
misc4,best_b,5,5,0,0.0,1,False,
misc4,best_a,6,6,0,0.0,2,False,
misc4,best_b,6,6,0,0.0,1,False,
misc4,best_a,7,7,0,0.0,2,False,
misc4,best_b,7,7,0,0.0,1,False,
misc4,best_a,8,8,0,0.0,2,False,
misc4,best_b,8,8,0,0.0,1,False,
misc4,best_a,9,9,0,0.0,2,False,
misc4,best_b,9,9,0,0.0,1,False,
misc4,best_a,10,10,0,0.0,2,False,
misc4,best_b,10,10,0,0.0,1,False,
misc4,best_a,11,11,0,0.0,2,False,
misc4,best_b,11,11,0,0.0,1,False,
misc4,best_a,12,12,0,0.0,2,False,
misc4,best_b,12,12,0,0.0,1,False,
misc4,best_a,13,13,0,0.0,2,False,
misc4,best_b,13,13,0,0.0,1,False,
misc4,best_a,14,14,0,0.0,2,False,
misc4,best_b,14,14,0,0.0,1,False,
misc4,best_a,15,15,0,0.0,2,False,
misc4,best_b,15,15,0,0.0,1,False,
misc4,best_a,16,16,0,0.0,2,False,
misc4,best_b,16,16,0,0.0,1,False,
misc4,best_a,17,17,0,0.0,2,False,
misc4,best_b,17,17,0,0.0,1,False,
misc4,best_a,18,18,0,0.0,2,False,
misc4,best_b,18,18,0,0.0,1,False,
misc4,best_a,19,19,0,0.0,2,False,
misc4,best_b,19,19,0,0.0,1,False,
misc4,best_a,20,20,0,0.0,2,False,
misc4,best_b,20,20,0,0.0,1,False,
misc4,best_a,21,21,0,0.0,2,False,
misc4,best_b,21,21,0,0.0,1,False,
misc4,best_a,22,22,0,0.0,2,False,
misc4,best_b,22,22,0,0.0,1,False,
misc4,best_a,23,23,0,0.0,2,False,
misc4,best_b,23,23,0,0.0,1,False,
misc4,best_a,24,24,0,0.0,2,False,
misc4,best_b,24,24,0,0.0,1,False,
misc4,best_a,25,25,0,0.0,2,False,
misc4,best_b,25,25,0,0.0,1,False,
