problem,definition,validation_eligible,coverage_qualified,answer,reference_count,reference_fraction,port_count,port_fraction
misc4,best_a,False,False,b,1,0.0005,20,0.2
misc4,best_a,False,False,y,1481,0.7405,74,0.74
misc4,best_a,False,False,z,518,0.259,6,0.06
misc4,best_b,False,False,b,16,0.008,0,0.0
misc4,best_b,False,False,y,1973,0.9865,100,1.0
misc4,best_b,False,False,z,11,0.0055,0,0.0
fig5.7,best_a,True,False,ijkd,0,0.0,1,0.01
fig5.7,best_a,True,False,ijkl,2,0.25,53,0.53
fig5.7,best_a,True,False,ijll,6,0.75,45,0.45
fig5.7,best_a,True,False,jjkk,0,0.0,1,0.01
fig5.7,best_b,True,False,aabd,0,0.0,1,0.01
fig5.7,best_b,True,False,hjkk,0,0.0,1,0.01
fig5.7,best_b,True,False,ijdd,0,0.0,3,0.03
fig5.7,best_b,True,False,ijkk,0,0.0,5,0.05
fig5.7,best_b,True,False,ijkl,4,0.5,39,0.39
fig5.7,best_b,True,False,ijl,0,0.0,2,0.02
fig5.7,best_b,True,False,ijll,4,0.5,48,0.48
fig5.7,best_b,True,False,jjkk,0,0.0,1,0.01
misc3,best_a,True,False,kji,3,0.2727272727272727,25,0.25
misc3,best_a,True,False,kjiii,0,0.0,5,0.05
misc3,best_a,True,False,kjjiii,0,0.0,1,0.01
misc3,best_a,True,False,kjjji,0,0.0,2,0.02
misc3,best_a,True,False,kjjjiii,0,0.0,4,0.04
misc3,best_a,True,False,kkjjii,6,0.5454545454545454,15,0.15
misc3,best_a,True,False,kkkji,0,0.0,2,0.02
misc3,best_a,True,False,kkkjiii,0,0.0,3,0.03
misc3,best_a,True,False,kkkjji,0,0.0,1,0.01
misc3,best_a,True,False,kkkjjiii,0,0.0,4,0.04
misc3,best_a,True,False,kkkjjji,0,0.0,1,0.01
misc3,best_a,True,False,kkkjjjiii,2,0.18181818181818182,36,0.36
misc3,best_a,True,False,kkkkjjjii,0,0.0,1,0.01
misc3,best_b,True,False,kji,3,0.2727272727272727,28,0.28
misc3,best_b,True,False,kjii,0,0.0,1,0.01
misc3,best_b,True,False,kjiii,0,0.0,2,0.02
misc3,best_b,True,False,kjji,0,0.0,1,0.01
misc3,best_b,True,False,kjjiii,0,0.0,1,0.01
misc3,best_b,True,False,kjjji,0,0.0,1,0.01
misc3,best_b,True,False,kjjjiii,0,0.0,1,0.01
