problem,definition,episodes,N,f1,f1_over_N,distinct_answers,freeze_eligible,frozen_at
misc4,best_a,1,1,1,1.0,1,True,
misc4,best_b,1,1,1,1.0,1,True,
misc4,best_a,2,2,0,0.0,1,True,2
misc4,best_b,2,2,0,0.0,1,True,2
run4,best_a,1,1,1,1.0,1,True,
run4,best_b,1,1,1,1.0,1,True,
run4,best_a,2,2,2,1.0,2,True,
run4,best_b,2,2,2,1.0,2,True,
run4,best_a,3,3,1,0.3333333333333333,2,True,3
run4,best_b,3,3,1,0.3333333333333333,2,True,3
fig5.7,best_a,1,1,1,1.0,1,True,
fig5.7,best_b,1,1,1,1.0,1,True,
fig5.7,best_a,2,2,0,0.0,1,True,2
fig5.7,best_b,2,2,2,1.0,2,True,
fig5.7,best_a,3,3,1,0.3333333333333333,2,True,2
fig5.7,best_b,3,3,1,0.3333333333333333,2,True,3
copy5,best_a,1,1,1,1.0,1,True,
copy5,best_b,1,1,1,1.0,1,True,
copy5,best_a,2,2,0,0.0,1,True,2
copy5,best_b,2,2,0,0.0,1,True,2
